Concelho,Datahora,M,FG,Via,Km,Natureza
Amares,19-05-2013 00:13,0,1,EN101,-,Atropelamento com fuga
Amares,08-02-2013 19:15,0,1,EN205,"48,850",Colisão frontal
Amares,10-10-2013 18:20,0,1,EN308,"62,143",Colisão frontal
Amares,29-06-2013 18:00,1,0,Rua da Cintura,-,"Colisão traseira com outro veículoem movimento"
Amares,23-07-2013 20:55,0,1,Rua de Santo Amaro,-,Atropelamento de peões
Barcelos,05-12-2013 10:05,0,1,Av. João Duarte 440,-,Atropelamento de peões
Barcelos,20-09-2013 19:30,0,1,Ava Central 270,-,Despiste simples
Barcelos,18-06-2013 13:45,0,1,Ava Paço Velho,-,"Colisão lateral com outro veículoem movimento"
Barcelos,08-07-2013 16:15,0,1,Avenida Nossa Senhora Fátima 00,-,"Colisão lateral com outro veículoem movimento"
Barcelos,29-09-2013 09:08,0,1,EM306,"40,600",Despiste simples
Barcelos,27-03-2013 20:51,1,0,EN103,"9,251","Despiste com colisão com veículoimobil. ou obstáculo"
Barcelos,20-06-2013 12:25,0,1,EN103,"15,086",Atropelamento de peões
Barcelos,01-01-2013 01:30,0,1,EN103-1,"6,250",Atropelamento de peões
Barcelos,12-02-2013 16:50,1,0,EN205,"18,700",Atropelamento de peões
Barcelos,28-04-2013 10:30,0,1,EN205,"24,500","Colisão lateral com outro veículoem movimento"
Barcelos,10-04-2013 17:45,0,1,EN205,"32,640",Atropelamento de peões
Barcelos,23-05-2013 20:00,0,1,EN306,"62,100",Despiste simples
Barcelos,23-12-2013 21:10,1,0,Rua da Barrosa,-,Colisão frontal
Barcelos,13-04-2013 16:45,0,1,Rua de Santo Estevão,-,"Colisão traseira com outro veículoem movimento"
Barcelos,23-06-2013 23:55,0,1,Rua Estrada da Praia,-,Despiste simples
Barcelos,09-11-2013 20:15,0,1,Rua Principal Chorente,-,Atropelamento de peões
Braga,28-09-2013 10:20,1,0,-,-,"Despiste com colisão com veículoimobil. ou obstáculo"
Braga,04-11-2013 19:25,0,1,A3,"41,100",Colisão com outras situações
Braga,08-03-2013 16:20,0,1,"Arruamento de saida do RetailPark s/n",-,Atropelamento de peões
Braga,21-12-2013 04:50,0,4,Ava Cávado 232,-,Despiste simples
Braga,19-04-2013 09:40,0,1,Ava do Monte,-,Despiste simples
Braga,07-08-2013 12:00,0,1,Ava Dr. António Palha 96,-,Atropelamento de peões
Braga,25-11-2013 09:30,0,1,Avenida 31 de Janeiro 0,-,Atropelamento de peões
Braga,27-03-2013 07:04,1,1,Avenida António Macedo S/N,-,"Colisão com veiculo ou obstáculona faixa de rodagem"
Braga,27-01-2013 18:10,0,1,Avenida Doutor António Palha 0,-,Atropelamento de peões
Braga,04-06-2013 04:15,0,2,Avenida Doutor Artur Soares s/n,-,"Despiste sem dispositivo deretenção"
Braga,31-08-2013 00:05,0,1,"Avenida Doutor Francisco SalgadoZenha 0",-,Colisão com outras situações
Braga,28-03-2013 07:40,0,1,"Avenida Doutor Porfirio da Silva no39/43",-,"Despiste com colisão com veículoimobil. ou obstáculo"
Braga,01-06-2013 23:45,0,2,"Avenida Doutor Porfirio da Silvas/n",-,Colisão frontal
Braga,16-05-2013 15:50,0,1,Avenida Imaculada Conceição 162,-,Atropelamento de peões
Braga,14-06-2013 18:30,0,1,Avenida João Paulo II S/N,-,"Colisão traseira com outro veículoem movimento"
Braga,02-06-2013 23:25,0,1,Avenida Liberdade 0,-,Colisão frontal
Braga,21-11-2013 18:00,0,1,Avenida Robert Smith 0,-,Colisão frontal
Braga,22-11-2013 20:20,0,1,Avenida Robert Smith 0,-,Colisão frontal
Braga,22-11-2013 00:40,0,1,Avenida Robert Smith 00,-,"Despiste com colisão com veículoimobil. ou obstáculo"
Braga,13-11-2013 18:00,0,1,EN101,"88,400","Colisão traseira com outro veículoem movimento"
Braga,16-08-2013 10:00,0,1,EN101,-,"Colisão lateral com outro veículoem movimento"
Braga,11-08-2013 08:10,1,0,EN103,"46,900","Colisão traseira com outro veículoem movimento"
Braga,08-10-2013 07:05,1,0,EN14,"39,531",Atropelamento de peões
Braga,30-03-2013 23:15,0,1,EN205-4,"11,680",Atropelamento de peões
Braga,05-05-2013 19:10,0,1,Estrada das Lagarteiras,-,"Despiste sem dispositivo deretenção"
Braga,10-08-2013 05:50,0,1,Estrada Via Falperra 353,-,Despiste simples
Braga,20-08-2013 10:45,0,1,Largo 1o de Dezembro 0,-,Atropelamento de peões
Braga,05-11-2013 10:00,0,1,Largo 1o de Dezembro 0,-,Atropelamento de peões
Braga,25-11-2013 18:10,0,1,Praça Conde Agrolongo 0,-,"Colisão lateral com outro veículoem movimento"
Braga,21-12-2013 23:30,0,1,Praça do Bocage 45,-,Atropelamento de peões
Braga,31-05-2013 18:00,0,1,Rotunda Santos da Cunha s/n,-,"Colisão lateral com outro veículoem movimento"
Braga,08-10-2013 10:50,0,1,Rua Caires 00,-,Atropelamento de peões
Braga,12-12-2013 10:30,0,1,Rua Cidade do Porto 0,-,Atropelamento de peões
Braga,17-12-2013 09:45,0,1,Rua conde Agrolongo 0,-,Atropelamento de peões
Braga,31-01-2013 07:30,0,1,Rua Costa Gomes 29,-,Atropelamento de peões
Braga,28-12-2013 10:30,0,1,Rua de São Martinho 0,-,Atropelamento de peões
Braga,17-09-2013 21:20,0,1,Rua do Carmo 0,-,"Despiste sem dispositivo deretenção"
Braga,02-12-2013 16:20,0,1,Rua do Monte Novo,-,"Colisão lateral com outro veículoem movimento"
Braga,08-10-2013 15:20,0,1,Rua Espadanido 00,-,"Colisão lateral com outro veículoem movimento"
Braga,24-05-2013 13:45,0,1,Rua Feira s/n,-,Atropelamento de peões
Braga,12-07-2013 15:30,0,1,Rua Gabriel Pereira de Castro 3,-,Atropelamento de peões
Braga,31-10-2013 18:05,0,1,Rua João Dias Soares,-,"Colisão traseira com outro veículoem movimento"
Braga,15-11-2013 17:00,0,1,Rua José Afonso 88,-,Atropelamento de peões
Braga,10-01-2013 12:00,0,1,Rua Misericórdia 17,-,Atropelamento de peões
Braga,28-10-2013 19:45,0,1,Rua Nova da Estação 144,-,Atropelamento de peões
Braga,27-12-2013 22:30,0,1,Rua Quinta de Marvila,-,Atropelamento de peões
Braga,29-06-2013 18:30,0,1,Rua São Martinho s/n,-,"Colisão lateral com outro veículoem movimento"
Braga,31-08-2013 09:35,0,1,Rua Sto Adrião 13,-,Atropelamento de peões
Braga,17-05-2013 18:15,0,1,"Rua Tanque da Veiga frente aono63",-,Atropelamento de peões
Braga,28-09-2013 10:15,0,1,"Rua Tenente Coronel Dias Pereira00",-,Atropelamento de peões
Braga,01-11-2013 17:50,0,1,Travessa Bernardo Sequeira 577,-,Atropelamento de peões
Braga,30-08-2013 09:15,0,1,VAR-CAV,-,Atropelamento de peões
Celorico de Basto,13-07-2013 09:30,0,1,-,-,Despiste com capotamento
Celorico de Basto,20-10-2013 10:00,0,2,-,-,Colisão frontal
Celorico de Basto,01-11-2013 14:00,0,1,-,-,"Despiste com colisão com veículoimobil. ou obstáculo"
Celorico de Basto,09-05-2013 11:00,1,0,EN210,"14,600",Atropelamento de peões
Esposende,12-05-2013 22:40,0,1,Ava da Praia,-,Atropelamento de peões
Esposende,13-12-2013 18:30,0,1,"Ava Engo Eduardo Arantes eOliveira",-,"Colisão com veiculo ou obstáculona faixa de rodagem"
Esposende,13-05-2013 17:15,0,1,EN103,"3,250",Colisão frontal
Esposende,08-05-2013 07:45,1,0,EN103,"6,850","Colisão lateral com outro veículoem movimento"
Esposende,05-02-2013 06:45,1,0,EN13,"47,860",Atropelamento de peões
Esposende,03-08-2013 23:30,1,0,EN13,"51,820",Colisão com outras situações
Esposende,23-04-2013 18:00,0,1,Rua do Pelourinho,-,Despiste simples
Fafe,27-12-2013 21:10,0,1,Ava do Brasil,-,Atropelamento de peões
Fafe,08-07-2013 09:40,0,1,Ava Santa Comba 1298,-,Despiste simples
Fafe,06-07-2013 17:00,0,1,EN206,"55,400",Despiste simples
Fafe,27-09-2013 19:30,1,0,EN206,"56,200",Colisão frontal
Fafe,15-10-2013 19:10,1,0,EN207,"44,700",Atropelamento de peões
Fafe,01-07-2013 20:30,0,1,Rua de Rielho,-,Despiste simples
Fafe,12-08-2013 18:40,0,1,Rua de Santo António 436,-,Atropelamento de peões
Fafe,04-08-2013 06:40,0,1,Rua do Souto das Calas,-,Despiste com capotamento
Fafe,25-08-2013 21:00,0,2,Rua dos Candeeiros,-,Atropelamento de peões
Fafe,11-08-2013 21:00,0,1,Rua Doutor Summerville Soares,-,"Colisão lateral com outro veículoem movimento"
Fafe,19-08-2013 20:15,0,1,Rua José Acácio Ferreira de Melo,-,Atropelamento de peões
Fafe,21-06-2013 18:50,0,1,Rua Principal 1269,-,Atropelamento de peões
Fafe,03-07-2013 17:55,0,1,URBANA,-,"Despiste com transposição dodispositivo de retenção lateral"
Guimaraes,19-07-2013 08:45,0,1,Ava da República,-,Atropelamento de peões
Guimaraes,09-02-2013 09:00,0,1,Avenida Dom João IV 402,-,Atropelamento de peões
Guimaraes,25-05-2013 08:55,1,0,EN101,"106,131",Atropelamento de peões
Guimaraes,01-06-2013 21:00,1,0,EN105,"32,000",Atropelamento de peões
Guimaraes,21-06-2013 10:30,0,1,EN105,"34,760",Atropelamento de peões
Guimaraes,29-09-2013 02:15,0,1,EN310,"11,750",Despiste com capotamento
Guimaraes,30-05-2013 18:25,0,1,EN310,"16,000",Atropelamento de peões
Guimaraes,13-08-2013 07:30,0,1,EN310,"16,100",Colisão frontal
Guimaraes,10-10-2013 07:45,0,2,EN310,"17,100",Colisão frontal
Guimaraes,05-01-2013 10:30,1,0,Rua 25 de Abril,-,Atropelamento de peões
Guimaraes,06-08-2013 23:30,0,1,Rua 25 de Abril,-,"Colisão com veiculo ou obstáculona faixa de rodagem"
Guimaraes,11-09-2013 13:00,0,1,Rua Casal Novo 326,-,Colisão frontal
Guimaraes,15-03-2013 18:50,0,1,"Rua Cruz da Argola Frente ao n.o3",-,"Despiste com colisão com veículoimobil. ou obstáculo"
Guimaraes,02-06-2013 20:30,0,1,Rua da Lapinha 637,-,Despiste simples
Guimaraes,26-03-2013 13:05,1,0,Rua da Ponte,-,"Colisão lateral com outro veículoem movimento"
Guimaraes,03-01-2013 19:10,1,0,Rua da Variante 1595,-,Atropelamento de peões
Guimaraes,14-01-2013 16:10,0,1,Rua da Variante 559,-,"Colisão lateral com outro veículoem movimento"
Guimaraes,16-08-2013 03:30,0,1,Rua das Eiras 1141,-,"Despiste com dispositivo deretenção"
Guimaraes,27-09-2013 07:40,0,1,Rua de S. Miguel 556,-,Atropelamento de peões
Guimaraes,10-07-2013 22:45,0,1,Rua dos Bons Ares,-,"Despiste com colisão com veículoimobil. ou obstáculo"
Guimaraes,02-04-2013 22:25,1,0,"Rua Francisco Santos Guimarães222",-,"Despiste com dispositivo deretenção"
Guimaraes,14-06-2013 22:00,0,1,Rua Joaquim Ribeiro Moura .,-,Despiste com capotamento
Guimaraes,06-07-2013 22:30,0,1,Rua Padre Areeiro,-,Colisão frontal
Guimaraes,29-03-2013 19:10,0,1,"Rua Professor Doutor ArnaldoSampaio .",-,Atropelamento de peões
Guimaraes,16-10-2013 19:10,0,1,Rua Santa Eulália SN,-,Atropelamento de peões
Guimaraes,16-08-2013 07:40,0,1,Rua São João Batista,-,Colisão frontal
Povoa de Lanhoso,03-10-2013 10:00,1,0,EN103,"56,700","Despiste com transposição dodispositivo de retenção lateral"
Povoa de Lanhoso,16-05-2013 17:00,0,1,EN103,"58,500","Despiste com colisão com veículoimobil. ou obstáculo"
Povoa de Lanhoso,24-08-2013 18:35,0,2,EN205,"67,150",Colisão frontal
Povoa de Lanhoso,02-04-2013 13:30,0,1,Rua da Igreja,-,Despiste simples
Povoa de Lanhoso,01-09-2013 18:30,1,0,Rua dos Penedos,-,"Colisão traseira com outro veículoem movimento"
Terras de Bouro,15-08-2013 19:30,0,1,EM531,-,"Despiste sem dispositivo deretenção"
Terras de Bouro,27-04-2013 07:33,0,1,EN304,"67,900",Colisão frontal
Terras de Bouro,21-08-2013 12:30,0,1,EN308,"65,340",Despiste com capotamento
Terras de Bouro,23-05-2013 11:40,0,1,EN308,"74,450","Colisão lateral com outro veículoem movimento"
Vieira do Minho,28-03-2013 08:15,0,1,-,-,Atropelamento de peões
Vieira do Minho,06-08-2013 15:22,1,0,EN103,"91,380",Colisão frontal
Vieira do Minho,10-12-2013 20:15,0,1,EN304,"87,620",Colisão com outras situações
Vila Nova de Famalicao,06-06-2013 11:10,0,2,A7,"25,230","Despiste com transposição dodispositivo de retenção lateral"
Vila Nova de Famalicao,23-09-2013 17:35,0,1,Alameda Caminhos de Santiago 0,-,Atropelamento de peões
Vila Nova de Famalicao,19-09-2013 01:00,0,1,Ava da Cerqueda,-,Despiste simples
Vila Nova de Famalicao,20-02-2013 17:15,0,1,Ava da Industria,-,"Colisão lateral com outro veículoem movimento"
Vila Nova de Famalicao,30-12-2013 18:15,0,1,Ava da Industria,-,"Colisão lateral com outro veículoem movimento"
Vila Nova de Famalicao,27-11-2013 11:40,1,0,Ava do Monte,-,"Colisão traseira com outro veículoem movimento"
Vila Nova de Famalicao,22-11-2013 17:50,0,1,Avenida 25 de Abril 4,-,Atropelamento de peões
Vila Nova de Famalicao,30-11-2013 00:50,1,0,Avenida Dom Afonso Henriques 0,-,"Despiste com dispositivo deretenção"
Vila Nova de Famalicao,13-12-2013 22:50,0,1,"Avenida Engenheiro Pinheiro Braga0",-,Atropelamento de peões
Vila Nova de Famalicao,12-08-2013 10:45,0,1,Avenida José Manuel Marques 0,-,Atropelamento de peões
Vila Nova de Famalicao,04-06-2013 14:35,0,1,"Avenida Marechal HumbertoDelgado 0",-,Atropelamento de peões
Vila Nova de Famalicao,28-09-2013 18:45,0,1,Avenida Santiago de Gavião 30.9,-,Colisão frontal
Vila Nova de Famalicao,16-11-2013 10:30,0,1,EN14,"34,300",Colisão frontal
Vila Nova de Famalicao,24-03-2013 15:00,0,1,EN204,"42,200",Atropelamento de peões
Vila Nova de Famalicao,18-05-2013 19:30,1,0,EN206,"15,846",Colisão frontal
Vila Nova de Famalicao,15-11-2013 17:00,0,1,EN206,"29,550","Colisão lateral com outro veículoem movimento"
Vila Nova de Famalicao,05-12-2013 17:30,0,1,EN206,"30,620",Atropelamento de peões
Vila Nova de Famalicao,07-07-2013 08:30,0,2,EN309,"5,800",Colisão frontal
Vila Nova de Famalicao,16-08-2013 06:20,0,1,EN309,"5,900",Colisão frontal
Vila Nova de Famalicao,21-02-2013 18:50,0,1,EN309,"20,850",Atropelamento de peões
Vila Nova de Famalicao,09-10-2013 16:30,0,1,EN309,"21,000","Colisão lateral com outro veículoem movimento"
Vila Nova de Famalicao,01-12-2013 16:50,0,1,EN309,"22,300",Colisão frontal
Vila Nova de Famalicao,16-04-2013 18:15,0,1,EN309,"22,580",Colisão frontal
Vila Nova de Famalicao,20-08-2013 08:20,1,0,EN309,"23,000",Colisão com outras situações
Vila Nova de Famalicao,10-05-2013 15:55,1,0,EN309,"23,850",Colisão com outras situações
Vila Nova de Famalicao,08-02-2013 13:00,1,0,EN310,"34,700",Colisão frontal
Vila Nova de Famalicao,30-12-2013 21:15,0,1,Largo da Serra 3,-,"Despiste com colisão com veículoimobil. ou obstáculo"
Vila Nova de Famalicao,24-10-2013 13:30,0,1,Rua 1o de Maio 1093,-,Colisão com outras situações
Vila Nova de Famalicao,23-05-2013 17:50,1,0,Rua da Charneca Real 196,-,Despiste simples
Vila Nova de Famalicao,13-06-2013 06:45,1,2,Rua da Cova,-,Colisão frontal
Vila Nova de Famalicao,08-09-2013 17:50,1,4,Rua do Convento,-,Atropelamento de peões
Vila Nova de Famalicao,20-07-2013 10:00,0,1,Rua Nossa Senhora de Fátima,-,Despiste simples
Vila Nova de Famalicao,05-06-2013 12:50,0,1,Rua Santiago .,-,"Colisão com veiculo ou obstáculona faixa de rodagem"
Vila Verde,24-10-2013 22:15,0,1,Ava da Igreja,-,"Despiste sem dispositivo deretenção"
Vila Verde,09-11-2013 12:40,1,1,EM531,"2,950",Despiste simples
Vila Verde,31-10-2013 07:45,0,1,EM541,"1,300",Atropelamento de peões
Vila Verde,17-12-2013 18:10,1,0,EN101,"72,600",Atropelamento de peões
Vila Verde,10-09-2013 09:00,0,1,EN205,"37,700","Colisão lateral com outro veículoem movimento"
Vila Verde,24-01-2013 18:00,0,1,EN205,"40,050",Atropelamento de peões
Vizela,29-03-2013 21:15,1,0,EN101-3,"3,930","Colisão traseira com outro veículoem movimento"
Vizela,04-01-2013 02:00,0,1,EN106,"1,600","Colisão lateral com outro veículoem movimento"
Vizela,17-03-2013 07:55,0,1,EN207-1,"13,300","Colisão com veiculo ou obstáculona faixa de rodagem"
