Concelho,Datahora,M,FG,Via,Km,Natureza
Braganca,25-06-2016 19:00,0,1,-,-,Despiste simples
Braganca,12-07-2016 08:15,1,0,-,-,Despiste simples
Braganca,07-08-2016 03:00,1,1,-,-,Despiste com capotamento
Braganca,19-02-2016 08:00,1,1,A4,"215,500","Colisão traseira com outroveículo em movimento"
Braganca,18-02-2016 15:20,0,2,A4,"216,650","Colisão traseira com outroveículo em movimento"
Braganca,18-06-2016 18:00,0,1,Av. Cidade de Leon 00,-,"Despiste com dispositivo deretenção"
Braganca,15-11-2016 18:00,1,0,Av. das Forças Armadas 13,-,Atropelamento de peões
Braganca,03-11-2016 00:50,0,1,Ava Sá Carneiro 288,-,Despiste simples
Braganca,26-10-2016 10:15,0,2,EN15,"235,400",Despiste simples
Braganca,24-04-2016 16:30,0,1,Rua  ECOPARK 000,-,"Despiste sem dispositivo deretenção"
Braganca,18-05-2016 12:00,0,1,RUA DO LAGAR,-,Atropelamento de peões
Braganca,05-11-2016 14:30,0,1,Rua do Prado,-,"Colisão traseira com outroveículo em movimento"
Braganca,11-11-2016 18:10,0,1,Rua Doutor Alexandre Faria 00,-,"Colisão lateral com outro veículoem movimento"
Braganca,19-12-2016 08:50,0,1,Rua Doutor Manuel Bento 4,-,Atropelamento de peões
Braganca,28-04-2016 20:00,0,1,Rua Guerra Junqueiro 63,-,"Colisão lateral com outro veículoem movimento"
Braganca,07-12-2016 02:50,0,1,Rua Visconde da Bouça 7,-,"Despiste com colisão com veículoimobil. ou obstáculo"
Carrazeda de Ansiaes,07-11-2016 07:55,0,1,-,"1,900",Despiste simples
Freixo Espada a Cinta,03-08-2016 17:27,1,0,-,-,Despiste simples
Freixo Espada a Cinta,27-09-2016 07:55,0,3,-,-,Colisão com outras situações
Macedo de Cavaleiros,02-05-2016 15:30,0,1,-,"1,000",Atropelamento de peões
Macedo de Cavaleiros,27-08-2016 03:45,0,1,-,"2,000",Despiste simples
Macedo de Cavaleiros,20-02-2016 13:15,1,0,EM563,-,Despiste simples
Macedo de Cavaleiros,24-05-2016 19:50,0,1,EN217,"56,300",Colisão frontal
Macedo de Cavaleiros,12-08-2016 08:45,1,0,Largo Maria da Fonte,-,Atropelamento de peões
Miranda do Douro,27-06-2016 21:30,0,1,EN218,"75,500","Colisão traseira com outroveículo em movimento"
Mirandela,19-08-2016 20:00,0,1,-,"18,319",Despiste simples
Mirandela,12-08-2016 03:30,0,1,-,-,Despiste simples
Mirandela,27-12-2016 21:04,0,1,-,-,Atropelamento de peões
Mirandela,27-07-2016 22:40,0,1,A4,"162,765",Despiste com capotamento
Mirandela,25-10-2016 18:50,0,1,Avenida 25 de Abril 0,-,Atropelamento de peões
Mirandela,17-03-2016 13:00,0,1,EN15,-,"Colisão traseira com outroveículo em movimento"
Mirandela,21-11-2016 17:50,0,1,EN15,-,Colisão frontal
Mirandela,01-12-2016 14:27,0,1,EN213,"43,900",Colisão frontal
Mirandela,08-09-2016 09:30,0,1,EN213,"61,850",Colisão frontal
Mirandela,15-03-2016 20:15,1,0,EN213,"64,400",Atropelamento de peões
Mirandela,26-09-2016 16:15,0,4,EN213,"65,665",Colisão frontal
Mirandela,25-08-2016 12:00,1,1,ER315,"46,500",Despiste simples
Mirandela,18-12-2016 11:45,0,1,Rua 16 de Maio 41,-,"Despiste com colisão com veículoimobil. ou obstáculo"
Mirandela,01-02-2016 13:40,0,1,Rua Freixos 0,-,"Despiste sem dispositivo deretenção"
Mogadouro,07-08-2016 03:30,0,2,recta vale da madre,-,Despiste com fuga
Torre de Moncorvo,04-05-2016 12:30,0,1,-,"6,000",Despiste simples
Torre de Moncorvo,16-03-2016 08:30,1,1,EN102,"57,800","Colisão lateral com outro veículoem movimento"
Torre de Moncorvo,24-07-2016 05:30,0,1,EN220,"18,000",Despiste simples
Vila Flor,22-03-2016 16:50,0,1,-,-,Despiste com capotamento
Vila Flor,01-07-2016 17:30,0,1,-,-,Despiste simples
Vila Flor,28-12-2016 16:45,0,2,EN102,"36,400",Despiste simples
Vila Flor,28-12-2016 14:50,0,1,EN214,"38,500","Colisão com veiculo ou obstáculona faixa de rodagem"
Vimioso,08-07-2016 17:50,0,1,EN218,"45,550",Colisão frontal
Vinhais,07-02-2016 11:45,0,1,EN103,"239,300","Colisão traseira com outroveículo em movimento"
Vinhais,19-06-2016 19:00,0,1,Rua dos Frades,-,Atropelamento com fuga
