Concelho,Datahora,M,FG,Via,Km,Natureza
Aguiar da Beira,17-05-2015 18:40,0,1,-,-,"Colisão lateral com outro veículoem movimento"
Aguiar da Beira,01-08-2015 21:40,1,0,EN330,"12,000","Colisão traseira com outroveículo em movimento"
Almeida,25-02-2015 15:55,1,0,EN332,"78,000",Despiste com capotamento
Celorico da Beira,22-05-2015 21:40,0,1,A25,"139,960",Despiste com capotamento
Celorico da Beira,23-04-2015 12:30,0,1,Rua D João de Oliveira Matos 49,-,Despiste simples
"Figueira de CasteloRodrigo",12-10-2015 10:40,0,1,A25,"123,900",Despiste com capotamento
"Figueira de CasteloRodrigo",22-05-2015 19:15,0,1,Largo Mateus de Castro,-,Atropelamento de peões
Fornos de Algodres,24-02-2015 18:30,1,0,A25,"133,100",Despiste com capotamento
Gouveia,04-04-2015 07:15,1,0,-,-,Despiste com capotamento
Gouveia,12-10-2015 15:10,0,1,EN17,"101,352","Despiste com colisão com veículoimobil. ou obstáculo"
Gouveia,17-11-2015 14:30,1,0,EN17,"115,700",Despiste com capotamento
Gouveia,24-08-2015 15:05,0,1,EN232,"17,056",Despiste com capotamento
Gouveia,29-12-2015 09:45,0,1,EN232,-,Colisão com outras situações
Gouveia,12-11-2015 09:50,0,2,Rua 5 de Outubro 11-G,-,"Despiste com colisão com veículoimobil. ou obstáculo"
Gouveia,21-03-2015 20:45,0,1,Rua das Cortes 1,-,"Colisão com veiculo ou obstáculona faixa de rodagem"
Guarda,08-01-2015 15:30,0,1,-,-,Despiste simples
Guarda,22-03-2015 10:15,0,1,-,-,"Despiste com transposição dodispositivo de retenção lateral"
Guarda,26-07-2015 00:10,1,0,-,-,"Despiste com transposição dodispositivo de retenção lateral"
Guarda,23-03-2015 13:30,0,1,"Arruamento de acesso ParqueIndustrial/Piscinas 0",-,Atropelamento de peões
Guarda,02-02-2015 19:10,0,1,Avenida 25 Abril 0,-,Atropelamento de peões
Guarda,06-11-2015 17:42,0,1,Avenida Alexandre Herculano -,-,Atropelamento de peões
Guarda,10-09-2015 15:55,0,1,Avenida Cidade de Safed 8,-,Atropelamento de peões
Guarda,12-04-2015 15:10,0,1,Avenida Rainha Dona Amélia 0,-,Colisão frontal
Guarda,09-02-2015 10:35,1,1,EN16,"160,707","Colisão com veiculo ou obstáculona faixa de rodagem"
Guarda,01-11-2015 10:00,0,1,EN18,"6,500",Atropelamento de animais
Guarda,12-10-2015 10:35,1,1,EN18,-,Despiste com capotamento
Guarda,13-11-2015 17:35,0,1,Rua da Igreja,-,Atropelamento de peões
Guarda,26-12-2015 15:20,0,1,Rua Herois do Ultramar,-,Atropelamento de peões
Guarda,23-04-2015 19:50,0,1,Rua Pedro Álvares Cabral 53,-,Atropelamento de peões
Meda,11-09-2015 08:00,1,0,EM600,-,"Colisão lateral com outro veículoem movimento"
Meda,27-11-2015 15:30,0,2,EN331,"48,800","Colisão traseira com outroveículo em movimento"
Pinhel,16-07-2015 15:45,0,1,EM577,"4,500",Despiste simples
Pinhel,10-05-2015 13:50,1,1,EM595-2,-,Despiste simples
Pinhel,16-12-2015 18:15,0,1,EN221,"162,655",Colisão choque em cadeia
Pinhel,09-01-2015 09:57,1,0,EN221,"167,600","Colisão lateral com outro veículoem movimento"
Pinhel,13-11-2015 17:30,0,1,EN226,"107,400",Atropelamento de peões
Pinhel,10-08-2015 18:30,0,1,Rua Alexandre Herculano,-,Atropelamento de peões
Pinhel,15-12-2015 14:20,0,1,Rua de Goa 2,-,"Colisão lateral com outro veículoem movimento"
Sabugal,06-02-2015 16:00,0,1,EM551,-,Despiste com capotamento
Sabugal,21-07-2015 15:40,0,1,EN324,"134,200",Despiste simples
Sabugal,16-01-2015 09:45,0,1,Rua Alexandre Herculano,-,Atropelamento de peões
Sabugal,17-06-2015 21:10,1,0,Rua Principal 2 A,-,Despiste simples
Seia,01-10-2015 10:20,0,1,Ava 1o de Maio,-,"Colisão lateral com outro veículoem movimento"
Seia,24-09-2015 08:10,0,1,Ava Marques Marialva,-,"Colisão traseira com outroveículo em movimento"
Seia,11-06-2015 21:30,1,0,Ava Principal,-,"Colisão lateral com outro veículoem movimento"
Seia,26-08-2015 10:40,0,1,Ava Terras de Sena,-,Atropelamento de peões
Seia,01-01-2015 19:15,0,1,EM502-1,-,Despiste simples
Seia,02-07-2015 12:05,0,1,EM522,"2,100",Despiste simples
Seia,11-12-2015 15:50,0,1,EM522,"2,400",Colisão com outras situações
Seia,17-10-2015 19:10,0,1,EN17,"88,660",Despiste simples
Seia,26-05-2015 21:35,0,1,EN17,"88,850",Colisão frontal
Seia,31-05-2015 14:40,0,2,EN17,"90,140","Colisão lateral com outro veículoem movimento"
Seia,27-12-2015 06:25,0,1,EN231,"29,700","Despiste com colisão com veículoimobil. ou obstáculo"
Seia,24-06-2015 08:40,0,1,EN231,"36,569",Colisão frontal
Seia,01-08-2015 06:30,0,1,EN231,"59,540",Despiste com capotamento
Trancoso,07-08-2015 14:10,0,1,Rua Carreira da Vila,-,"Despiste com transposição dodispositivo de retenção lateral"
Vila Nova de Foz Coa,10-10-2015 18:30,0,1,EN102,"73,320",Despiste simples
Vila Nova de Foz Coa,06-12-2015 19:50,0,1,EN222,"218,100",Colisão frontal
Vila Nova de Foz Coa,06-08-2015 16:30,0,2,EN324,"25,180",Colisão frontal
Vila Nova de Foz Coa,02-10-2015 18:30,0,1,EN331-1,"6,940",Despiste simples
Vila Nova de Foz Coa,12-02-2015 22:06,0,1,Rua Nicolau Ricart 4,-,"Colisão com veiculo ou obstáculona faixa de rodagem"
