Concelho,Datahora,M,FG,Via,Km,Natureza
Belmonte,23-04-2014 10:00,0,1,EN18,"21,600",Despiste com capotamento
Belmonte,06-07-2014 14:05,0,1,EN345,"0,540",Despiste simples
Belmonte,13-05-2014 20:18,0,1,EN345-1,"0,500",Despiste simples
Castelo Branco,26-10-2014 10:00,0,1,-,"0,001",Despiste simples
Castelo Branco,08-11-2014 17:45,0,1,-,"0,001",Despiste com capotamento
Castelo Branco,25-06-2014 16:45,0,1,-,-,Despiste simples
Castelo Branco,03-08-2014 17:50,0,1,-,-,Despiste simples
Castelo Branco,25-10-2014 10:10,0,1,-,-,Atropelamento de peões
Castelo Branco,09-11-2014 11:30,0,1,-,-,Despiste com capotamento
Castelo Branco,30-10-2014 14:50,0,1,Ava da Europa 00,-,Atropelamento de peões
Castelo Branco,15-09-2014 09:15,0,2,Ava Nossa Senhora de Fátima 80,-,"Colisão traseira com outroveículo em movimento"
Castelo Branco,09-12-2014 19:30,0,1,Avenida Empresário 0,-,"Colisão lateral com outro veículoem movimento"
Castelo Branco,05-12-2014 09:30,0,1,EM1250,-,"Colisão com veiculo ou obstáculona faixa de rodagem"
Castelo Branco,11-08-2014 13:00,0,1,EM1257,-,"Despiste sem dispositivo deretenção"
Castelo Branco,05-12-2014 17:30,0,3,EM548,-,Despiste com capotamento
Castelo Branco,03-05-2014 19:15,0,1,EN112,"77,000",Despiste com capotamento
Castelo Branco,28-12-2014 17:00,0,1,EN112,"86,400",Despiste simples
Castelo Branco,18-03-2014 14:05,0,1,EN112,"91,500","Colisão traseira com outroveículo em movimento"
Castelo Branco,30-05-2014 19:30,0,1,EN112,"92,000","Colisão traseira com outroveículo em movimento"
Castelo Branco,13-12-2014 18:00,0,1,EN233,"106,000","Colisão traseira com outroveículo em movimento"
Castelo Branco,05-07-2014 15:55,0,1,EN233,-,"Colisão traseira com outroveículo em movimento"
Castelo Branco,21-12-2014 17:15,0,1,EN352,"38,250",Despiste simples
Castelo Branco,09-12-2014 12:00,0,1,Praça do Município 1,-,Atropelamento de peões
Castelo Branco,07-02-2014 07:55,0,1,Praça Rainha Dona Leonor 0,-,Atropelamento de peões
Castelo Branco,03-11-2014 15:20,0,1,Quinta Amieiro de Baixo 24,-,Atropelamento de peões
Castelo Branco,06-05-2014 18:50,0,1,"Rotunda da Av. do Brasil comacesso ao B.o Horta D'Alva 18",-,"Despiste sem dispositivo deretenção"
Castelo Branco,09-03-2014 09:15,0,1,Rotunda Templarios 0,-,"Despiste sem dispositivo deretenção"
Castelo Branco,10-01-2014 15:00,0,1,Rua Dr. Jaime Lopes Dias 10,-,Colisão frontal
Castelo Branco,29-04-2014 18:10,1,0,Rua Engenheiro Pires Marques 70,-,Colisão frontal
Castelo Branco,04-08-2014 15:00,0,1,Rua José António Morão 2,-,"Colisão lateral com outro veículoem movimento"
Castelo Branco,02-12-2014 22:00,0,1,Rua Senhora Mércules 70,-,"Despiste com transposição dodispositivo de retenção lateral"
Covilha,29-07-2014 09:00,1,0,Alameda Pero da Covilhã 0,-,Atropelamento de peões
Covilha,27-07-2014 19:30,0,1,Alameda Pêro da Covilhã 00,-,Colisão com outras situações
Covilha,01-09-2014 11:50,0,1,"Ava Filarmónica RecreativaCarvalhense",-,Despiste simples
Covilha,17-12-2014 16:00,0,1,Caminho do Biribau 0,-,"Despiste com colisão com veículoimobil. ou obstáculo"
Covilha,29-05-2014 02:50,0,1,EIXOTCT,-,Despiste simples
Covilha,03-03-2014 19:30,0,1,EN230,"207,000","Colisão lateral com outro veículoem movimento"
Covilha,22-12-2014 08:30,0,1,EN232,"84,350",Despiste com capotamento
Covilha,22-10-2014 18:50,0,1,EN339,"30,450",Despiste simples
Covilha,06-10-2014 13:23,0,1,Estrada do Pedragal 00,-,"Colisão lateral com outro veículoem movimento"
Covilha,03-12-2014 19:35,0,1,Rua Cidade do Fundão 0,-,"Colisão lateral com outro veículoem movimento"
