Concelho,Datahora,M,FG,Via,Km,Natureza
Arcos de Valdevez,13-03-2015 18:00,0,1,EM518,-,Atropelamento de peões
Arcos de Valdevez,14-02-2015 20:10,0,1,EN101,"51,000",Atropelamento de peões
Arcos de Valdevez,19-03-2015 20:30,0,2,EN202,"57,300",Colisão frontal
Arcos de Valdevez,22-09-2015 19:45,1,1,IC28,"9,267",Colisão frontal
Caminha,19-07-2015 13:00,2,0,-,"0,834",Colisão frontal
Caminha,07-08-2015 14:30,0,1,Ava de Santana 204,-,Atropelamento de peões
Caminha,25-08-2015 20:55,0,1,Ava Santana,-,Atropelamento de peões
Melgaco,12-10-2015 13:40,0,1,EM1357,-,Despiste com capotamento
Melgaco,13-01-2015 16:50,1,0,EM503,-,Despiste simples
Melgaco,24-09-2015 13:30,0,2,EN202,"95,400",Colisão frontal
Melgaco,22-03-2015 11:30,1,0,Lugar de Sá,-,Atropelamento de peões
Moncao,10-08-2015 12:35,0,1,EM503,-,Colisão frontal
Moncao,20-08-2015 22:20,1,0,EN202,"2,545",Colisão frontal
Moncao,29-06-2015 05:50,0,1,EN202,"7,900",Despiste com capotamento
Paredes de Coura,17-06-2015 11:10,0,2,EM1035,-,Atropelamento de peões
Paredes de Coura,05-12-2015 19:35,0,1,EM514,-,Colisão frontal
Ponte da Barca,31-12-2015 19:00,0,1,EN101,"60,500","Colisão lateral com outro veículoem movimento"
Ponte da Barca,08-06-2015 16:55,0,1,EN304-1,"7,550","Despiste com colisão com veículoimobil. ou obstáculo"
Ponte de Lima,07-07-2015 19:50,0,1,-,-,Despiste simples
Ponte de Lima,28-12-2015 23:45,0,1,A27,"17,150",Despiste simples
Ponte de Lima,05-08-2015 19:20,0,1,A3,"69,850","Despiste com dispositivo deretenção"
Ponte de Lima,28-09-2015 19:30,1,0,EM549,-,"Colisão lateral com outro veículoem movimento"
Ponte de Lima,07-08-2015 17:15,0,1,EN201,"32,880","Colisão lateral com outro veículoem movimento"
Ponte de Lima,13-09-2015 20:20,0,1,EN201,"40,700",Colisão com fuga
Ponte de Lima,22-08-2015 15:50,0,1,EN202,"17,900","Despiste com colisão com veículoimobil. ou obstáculo"
Ponte de Lima,07-11-2015 09:30,1,0,EN203,"16,700",Atropelamento de peões
Ponte de Lima,30-11-2015 16:30,0,1,EN203,"21,350",Atropelamento de peões
Ponte de Lima,20-12-2015 11:00,0,1,EN307,-,"Despiste com colisão com veículoimobil. ou obstáculo"
Ponte de Lima,09-08-2015 16:00,0,1,Rua de São Cristovão,-,"Despiste com colisão com veículoimobil. ou obstáculo"
Ponte de Lima,30-05-2015 21:20,0,1,Rua de São Pedro,-,"Colisão lateral com outro veículoem movimento"
Valenca,06-12-2015 17:10,0,1,-,-,Despiste simples
Valenca,09-02-2015 16:25,0,1,EM506,-,Colisão frontal
Valenca,05-07-2015 20:40,0,1,Lugar de Cima,-,Colisão frontal
Viana do Castelo,04-10-2015 01:00,0,1,A27,"3,600","Despiste com transposição dodispositivo de retenção lateral"
Viana do Castelo,22-06-2015 16:00,0,1,A28,"78,900",Despiste simples
Viana do Castelo,15-11-2015 18:00,0,1,A28,"80,700","Colisão traseira com outroveículo em movimento"
Viana do Castelo,12-10-2015 13:20,0,1,A28,"83,000","Colisão com veiculo ou obstáculona faixa de rodagem"
Viana do Castelo,17-02-2015 10:00,0,1,Alameda 5 de Outubro 0,-,"Colisão lateral com outro veículoem movimento"
Viana do Castelo,11-11-2015 06:19,0,1,Avenida 2 de Fevereiro 282,-,Atropelamento de peões
Viana do Castelo,28-08-2015 16:00,0,1,AVENIDA 25 DE ABRIL 000,-,Atropelamento de peões
Viana do Castelo,11-08-2015 18:00,1,0,Avenida Paulo VI 1,-,Colisão frontal
Viana do Castelo,10-06-2015 06:10,0,3,EN305,"19,900","Colisão lateral com outro veículoem movimento"
Viana do Castelo,05-12-2015 13:10,0,1,EN305,"23,100",Despiste simples
Viana do Castelo,16-11-2015 09:20,0,1,EN308,"5,150",Atropelamento de peões
Viana do Castelo,19-11-2015 19:15,0,1,EN308,"9,850","Colisão lateral com outro veículoem movimento"
Viana do Castelo,29-06-2015 04:20,0,1,Ponte Gustave Eiffel 0,-,Colisão com outras situações
Viana do Castelo,15-03-2015 08:23,0,2,Rua do Paço,-,Atropelamento de peões
Viana do Castelo,28-05-2015 22:40,0,1,Rua São Miguel 496,-,Atropelamento de peões
Vila Nova de Cerveira,24-03-2015 10:19,0,1,A3,"102,287","Colisão traseira com outroveículo em movimento"
Vila Nova de Cerveira,08-09-2015 09:15,0,1,EN13,"103,050","Colisão lateral com outro veículoem movimento"
Vila Nova de Cerveira,23-12-2015 05:08,1,0,EN13,"105,900","Colisão com veiculo ou obstáculona faixa de rodagem"
Vila Nova de Cerveira,04-06-2015 16:30,0,1,Rua Doutor Louis Gras Tous,-,"Colisão lateral com outro veículoem movimento"
Vila Nova de Cerveira,16-10-2015 21:25,0,1,Rua Vale de Cima,-,"Despiste com colisão com veículoimobil. ou obstáculo"
