Concelho,Datahora,M,FG,Via,Km,Natureza
Alijo,09-09-2015 12:35,0,1,EN212,"44,900",Colisão frontal
Alijo,14-10-2015 23:40,0,1,EN212,"47,580",Despiste com capotamento
Alijo,04-01-2015 17:20,0,2,IC5,"43,200",Colisão frontal
Boticas,10-07-2015 22:30,0,1,-,-,Despiste simples
Boticas,10-08-2015 06:20,0,2,EM530,-,Despiste com capotamento
Boticas,15-05-2015 18:45,0,1,ER311,"90,400",Colisão frontal
Boticas,31-07-2015 13:25,0,1,Rua Gomes Monteiro,-,"Colisão traseira com outroveículo em movimento"
Chaves,19-06-2015 10:35,0,1,"Avenida Engenheiro DuartePacheco 30",-,Atropelamento de peões
Chaves,11-03-2015 09:15,0,1,Avenida Heróis de Chaves 0,-,"Colisão lateral com outro veículoem movimento"
Chaves,03-09-2015 19:50,1,1,EM507,-,Despiste simples
Chaves,12-07-2015 17:22,0,1,EM546,-,Atropelamento de peões
Chaves,28-07-2015 15:30,0,1,EM549,-,Colisão frontal
Chaves,07-10-2015 11:30,1,0,EN103,"156,400",Colisão frontal
Chaves,13-03-2015 21:00,0,1,EN2,"12,200",Despiste simples
Chaves,09-05-2015 23:45,0,1,EN2,"13,555",Despiste simples
Chaves,26-08-2015 08:20,0,1,Rua do Rajado 23,-,"Colisão lateral com outro veículoem movimento"
Chaves,18-09-2015 16:10,0,1,Rua Senhora da Lapa 64,-,"Colisão com veiculo ou obstáculona faixa de rodagem"
Chaves,09-08-2015 10:00,0,1,Travessa do Tamega,-,Atropelamento de peões
Mesao Frio,09-12-2015 18:45,0,1,EN101,"163,230",Atropelamento de peões
Mesao Frio,03-07-2015 14:15,0,1,Rua de Rodas,-,"Colisão lateral com outro veículoem movimento"
Mondim de Basto,06-09-2015 12:50,0,1,EM1200,-,Despiste simples
Mondim de Basto,24-07-2015 11:15,1,0,EM312,-,Despiste simples
Mondim de Basto,02-08-2015 11:20,0,1,EM312,-,"Colisão traseira com outroveículo em movimento"
Montalegre,14-01-2015 21:00,1,1,EM509,-,Despiste com capotamento
Montalegre,07-08-2015 18:30,0,2,ER311,"44,150",Colisão frontal
Montalegre,16-03-2015 08:40,1,0,Rua da Portela 11,-,"Despiste com colisão com veículoimobil. ou obstáculo"
Murca,24-06-2015 17:15,0,1,Alameda do Rio Sobreira,-,Despiste com capotamento
Murca,06-12-2015 06:30,0,1,ER314,"31,900",Despiste simples
Peso da Regua,06-04-2015 11:05,0,1,EM601,-,"Despiste com colisão com veículoimobil. ou obstáculo"
Peso da Regua,15-04-2015 16:30,0,1,EN313,"74,000",Colisão frontal
Peso da Regua,09-04-2015 12:20,0,1,EN313-2,"4,000",Colisão frontal
Peso da Regua,12-10-2015 09:36,0,1,Rua do Souto,-,"Despiste com colisão com veículoimobil. ou obstáculo"
Ribeira de Pena,29-05-2015 18:49,1,0,-,-,Colisão frontal
Ribeira de Pena,22-12-2015 13:10,0,1,-,-,Despiste simples
Ribeira de Pena,19-06-2015 10:40,1,0,Rua de Carida,-,Despiste simples
Sabrosa,13-03-2015 11:00,1,0,EM323,"6,250","Despiste com transposição dodispositivo de retenção lateral"
"Santa Marta dePenaguiao",07-02-2015 16:10,0,1,EN304-3,"2,200",Atropelamento de peões
Valpacos,19-06-2015 22:15,0,1,EM1096,-,Despiste simples
Valpacos,27-07-2015 10:23,0,1,EM1104,-,"Colisão lateral com outro veículoem movimento"
Valpacos,09-06-2015 09:35,0,2,EN213,"17,850",Colisão frontal
Valpacos,25-06-2015 08:50,0,2,EN213,"37,100","Colisão lateral com outro veículoem movimento"
Valpacos,14-12-2015 13:40,0,1,ER206,"161,940",Despiste com capotamento
Vila Pouca de Aguiar,03-08-2015 17:20,0,1,Ava Lopes de Oliveira,-,Atropelamento de peões
Vila Pouca de Aguiar,10-01-2015 19:15,0,1,EN2,"34,338",Despiste simples
Vila Pouca de Aguiar,07-03-2015 20:00,0,1,EN2,"45,650",Colisão frontal
Vila Real,06-11-2015 13:53,0,1,Av. da Noruega 0,-,Colisão frontal
Vila Real,14-06-2015 15:10,0,1,Ava da Universidade 0,-,Atropelamento de peões
Vila Real,25-02-2015 17:15,0,1,Avenida 1o de Maio 0,-,Atropelamento de peões
Vila Real,24-06-2015 08:10,0,1,Avenida Aureliano Barrigas 0,-,Atropelamento de peões
Vila Real,07-10-2015 08:30,0,1,Avenida da Noruega 0,-,Atropelamento de peões
Vila Real,21-01-2015 18:30,0,1,Avenida da universidade 4 4,-,Atropelamento de peões
Vila Real,02-12-2015 14:00,0,1,Avenida Dom Dinis 6,-,Atropelamento de peões
Vila Real,09-11-2015 23:10,0,1,Avenida Europa 0,-,Atropelamento de peões
Vila Real,02-09-2015 18:45,0,1,Rua Casimiro de Oliveira 0,-,"Despiste com dispositivo deretenção"
Vila Real,28-12-2015 13:50,0,1,Rua Cruz das Almas 0,-,"Despiste sem dispositivo deretenção"
Vila Real,04-07-2015 13:45,0,1,Rua da Telheira,-,Colisão frontal
Vila Real,08-05-2015 17:00,0,1,Rua do Fundo do Povo 2,-,Despiste simples
Vila Real,10-10-2015 18:30,0,1,Rua Professor Everardo Pitrez 0,-,"Despiste com dispositivo deretenção"
Vila Real,25-02-2015 13:50,0,1,"Rua Promotores do Circuito deVila Real 0",-,Colisão choque em cadeia
