Concelho,Datahora,M,FG,Via,Km,Natureza
Agueda,20-05-2017 22:30,1,0,-,-,Despiste simples
Agueda,22-07-2017 12:45,0,1,-,-,Despiste simples
Agueda,26-12-2017 16:50,0,1,EN1,"225,400",Colisão frontal
Agueda,17-11-2017 19:14,1,0,EN1,"244,500",Atropelamento de peões
Agueda,17-06-2017 21:54,0,1,EN333,"1,000",Despiste simples
Agueda,01-12-2017 13:30,0,1,IC2,"225,000","Colisão lateral com outro veículoem movimento"
Agueda,24-11-2017 09:01,0,3,IC2,"241,500",Colisão frontal
Agueda,03-12-2017 06:00,0,1,Rua da Lomba,-,Despiste com capotamento
Agueda,14-06-2017 11:30,0,1,"RUA DAS FLORES - POVOA VALETRIGO",-,"Colisão com veiculo ou obstáculona faixa de rodagem"
Agueda,25-06-2017 06:05,0,1,rua direita,-,Despiste com capotamento
Agueda,21-02-2017 21:00,0,1,Rua do Emigrante,-,Colisão frontal
Agueda,29-11-2017 07:40,0,1,Rua João Baptista,-,"Colisão lateral com outro veículoem movimento"
Agueda,17-04-2017 17:00,0,1,Rua Principal,-,Despiste simples
Albergaria-a-Velha,23-12-2017 18:20,1,0,"Avenida Dr. José Homem deAlbuquerque",-,Atropelamento de peões
Albergaria-a-Velha,26-04-2017 19:00,0,1,EN1,"254,900","Colisão lateral com outro veículoem movimento"
Albergaria-a-Velha,12-06-2017 08:00,0,1,Estrada de Paus,-,Despiste simples
Albergaria-a-Velha,09-09-2017 18:30,0,1,IC2,"249,200",Despiste simples
Albergaria-a-Velha,05-09-2017 18:30,0,1,Rua das Hortas,-,Despiste simples
Albergaria-a-Velha,13-11-2017 09:30,0,1,RUA DO CAÇÃO,-,Atropelamento de peões
Albergaria-a-Velha,29-03-2017 02:30,0,4,"Rua Nossa Senhora daAuxiliadora",-,Despiste simples
Albergaria-a-Velha,18-07-2017 13:10,0,1,Rua Povoas de Beduido,-,Colisão com fuga
Albergaria-a-Velha,11-08-2017 13:40,0,1,Rua vale do Fundeiro,-,Atropelamento de peões
Albergaria-a-Velha,08-11-2017 19:20,0,1,RUA VALE DO MOURO,-,"Colisão lateral com outro veículoem movimento"
Anadia,02-05-2017 11:45,1,1,A1,"216,150","Colisão com veiculo ou obstáculona faixa de rodagem"
Anadia,26-12-2017 07:25,0,1,EN1,"213,457","Colisão lateral com outro veículoem movimento"
Anadia,27-07-2017 16:52,2,1,EN1,"219,843",Colisão frontal
Anadia,17-12-2017 14:30,1,0,IC2,"223,000","Colisão lateral com outro veículoem movimento"
Anadia,10-02-2017 06:10,1,0,Largo da Fonte,-,Despiste simples
Anadia,21-12-2017 16:59,1,0,Rua das Lameirinhas- Pedralva,-,Atropelamento de peões
Anadia,17-04-2017 17:46,0,1,Rua Principal,-,Despiste simples
Anadia,05-04-2017 18:10,0,1,"RUAS DAS ÁRVORES, GRADA",-,Colisão frontal
Arouca,23-04-2017 09:50,0,1,-,-,Colisão com outras situações
Arouca,27-05-2017 19:19,0,1,-,-,Despiste simples
