Concelho,Datahora,M,FG,Via,Km,Natureza
Amarante,19-10-2015 15:20,0,1,-,"37,200","Colisão lateral com outro veículoem movimento"
Amarante,03-08-2015 17:30,0,1,A4,"53,024","Colisão com veiculo ou obstáculona faixa de rodagem"
Amarante,26-09-2015 22:10,1,0,Ava Lagarteira,-,Colisão com fuga
Amarante,18-11-2015 17:35,0,1,EN101,"147,450",Atropelamento de peões
Amarante,22-11-2015 23:30,0,1,EN15,"39,700","Colisão lateral com outro veículoem movimento"
Amarante,23-10-2015 21:45,1,1,EN210,"37,872",Colisão frontal
Amarante,07-08-2015 09:15,1,0,Rua Agostinho Gonçalves Abreu,-,"Colisão lateral com outro veículoem movimento"
Amarante,02-05-2015 18:45,0,2,Rua da Mó,-,Colisão frontal
Amarante,22-12-2015 20:00,0,1,Rua de Feijos 184,-,Colisão frontal
Amarante,21-02-2015 21:30,0,1,Rua de Manhufe,-,Despiste com capotamento
Amarante,01-07-2015 11:15,0,1,Rua do Crasto,-,Despiste simples
Amarante,25-05-2015 16:00,1,0,Ruada Fonte Mor,-,Colisão frontal
Baiao,06-05-2015 01:30,1,0,-,-,Despiste com capotamento
Baiao,26-07-2015 00:10,1,0,EN101,"148,074",Colisão frontal
Baiao,01-08-2015 18:40,1,0,EN101,"152,400","Colisão lateral com outro veículoem movimento"
Felgueiras,07-11-2015 01:30,0,2,A11,"66,850","Despiste com transposição dodispositivo de retenção lateral"
Felgueiras,22-12-2015 07:20,0,1,Ava Dro Ribeiro Magalhães,-,Atropelamento de peões
Felgueiras,13-01-2015 21:10,1,0,EN101-3,"1,300",Atropelamento de peões
Felgueiras,22-03-2015 10:40,1,0,EN15,"46,100",Colisão com fuga
Felgueiras,22-05-2015 11:45,0,1,Rua da Cegonheira,-,Colisão frontal
Felgueiras,19-09-2015 21:00,0,1,Rua da Igreja,-,Atropelamento de peões
Felgueiras,01-09-2015 18:40,0,1,Rua da Póvoa,-,Despiste simples
Felgueiras,15-07-2015 12:40,1,0,Rua de Entre Caminhos,-,Despiste simples
Felgueiras,17-07-2015 23:20,1,2,Rua de Revinhade,-,Colisão frontal
Felgueiras,21-09-2015 13:40,0,1,Rua do Empresário 256,-,Despiste simples
Felgueiras,12-06-2015 10:55,0,1,Rua Rebelo de Carvalho 406,-,Atropelamento de peões
Felgueiras,19-09-2015 20:40,0,1,Rua Santa Maria,-,Despiste simples
Gondomar,27-11-2015 23:50,1,0,-,-,Colisão com outras situações
Gondomar,17-05-2015 19:15,0,1,"Avenida Escritor Costa Barreto1.2",-,"Despiste sem dispositivo deretenção"
Gondomar,03-05-2015 15:23,0,1,"Avenida Escritor Costa Barreto1.4",-,"Despiste sem dispositivo deretenção"
Gondomar,10-05-2015 08:50,1,0,EN108,"17,500",Atropelamento de peões
Gondomar,02-02-2015 09:30,0,1,EN108,"18,950",Colisão frontal
Gondomar,07-08-2015 14:40,1,0,EN108,"24,121","Colisão lateral com outro veículoem movimento"
Gondomar,02-02-2015 20:35,1,0,Estrada D. Miguel 1975,-,Atropelamento de peões
Gondomar,13-04-2015 12:55,0,2,Estrada Dom Miguel 373,-,Despiste com capotamento
Gondomar,22-02-2015 14:40,0,1,Rua Alto Barreiros,-,Atropelamento de peões
Gondomar,23-02-2015 10:10,0,1,Rua do Seixo 33,-,Atropelamento de peões
Gondomar,05-09-2015 19:20,0,1,Rua Dom Afonso Henriques 1357,-,"Colisão lateral com outro veículoem movimento"
Gondomar,28-10-2015 13:40,0,1,Rua Dom Afonso Henriques 930,-,Atropelamento de peões
Gondomar,02-04-2015 19:05,0,1,Rua Infante Dom Henrique 185,-,Colisão frontal
