Concelho,Datahora,M,FG,Via,Km,Natureza
Alandroal,06-01-2017 10:20,0,1,EN255,"19,700",Despiste com capotamento
Arraiolos,03-09-2017 19:45,0,1,-,-,"Colisão lateral com outro veículoem movimento"
Arraiolos,10-09-2017 17:53,0,1,-,-,Despiste simples
Arraiolos,22-09-2017 07:35,0,1,EN372-1,"13,400",Despiste simples
Arraiolos,27-02-2017 09:55,0,1,EN4,"102,300",Colisão com fuga
Arraiolos,13-05-2017 21:12,1,0,Rua Capitão Gomes Pereira,-,Colisão frontal
Estremoz,18-06-2017 23:10,1,0,-,-,Despiste simples
Estremoz,09-07-2017 19:20,0,1,-,-,Despiste simples
Estremoz,04-12-2017 11:37,1,0,-,-,Despiste simples
Estremoz,02-01-2017 13:55,0,1,Avenida Rainha Santa Isabel 0,-,Atropelamento de peões
Estremoz,30-08-2017 11:00,0,1,EN245,"67,000",Colisão com outras situações
Estremoz,25-11-2017 17:30,0,1,EN245,"69,000","Colisão lateral com outro veículoem movimento"
Estremoz,17-08-2017 21:42,0,1,EN4,"145,228",Colisão frontal
Evora,08-01-2017 15:30,0,1,-,-,Despiste simples
Evora,15-07-2017 22:00,0,1,-,-,Despiste simples
Evora,20-08-2017 08:15,0,1,-,-,"Colisão traseira com outroveículo em movimento"
Evora,19-09-2017 12:33,0,1,-,-,Despiste simples
Evora,08-06-2017 14:30,0,1,Avenida São Sebastião 22,-,"Despiste sem dispositivo deretenção"
Evora,26-11-2017 15:30,1,0,EN114,"185,000",Atropelamento de peões
Evora,05-10-2017 10:00,0,1,EN114-4,"4,500",Despiste simples
Evora,11-01-2017 15:40,0,1,EN18,"257,157",Despiste simples
Evora,08-08-2017 13:00,0,1,EN18,"258,711","Colisão lateral com outro veículoem movimento"
Evora,16-09-2017 23:30,0,1,EN18,"269,000","Despiste sem dispositivo deretenção"
Evora,13-07-2017 14:15,0,1,EN18,"277,857",Despiste com capotamento
Evora,01-12-2017 15:50,0,3,EN18,"279,470",Colisão frontal
Evora,10-06-2017 08:10,0,1,EN254,"34,118",Colisão com fuga
Evora,31-01-2017 15:15,0,1,EN254,"49,600","Colisão traseira com outroveículo em movimento"
Evora,05-11-2017 14:20,0,1,EN254,"64,901","Colisão lateral com outro veículoem movimento"
Evora,19-03-2017 03:30,0,1,EN256,"2,750",Despiste simples
Evora,27-07-2017 23:00,0,1,EN370,"84,700",Despiste simples
Evora,09-06-2017 11:30,0,1,EN380,"90,500",Despiste com capotamento
Evora,20-02-2017 19:00,0,1,Estrada de Viana 12,-,"Colisão lateral com outro veículoem movimento"
Evora,17-12-2017 17:50,0,1,IP2,"283,240",Colisão frontal
Evora,20-10-2017 12:20,0,1,Rua Cardeal Rei 4,-,Atropelamento de peões
Evora,28-08-2017 10:15,0,1,Rua Circular à Muralha 0,-,"Colisão lateral com outro veículoem movimento"
Evora,16-09-2017 15:40,0,1,Rua da Estrela 36,-,"Despiste com dispositivo deretenção"
Montemor-o-Novo,26-05-2017 12:30,0,1,-,-,"Colisão lateral com outro veículoem movimento"
Montemor-o-Novo,20-09-2017 11:45,0,1,-,-,Colisão frontal
Montemor-o-Novo,09-12-2017 14:00,0,1,-,-,Despiste com fuga
Montemor-o-Novo,20-05-2017 15:20,0,2,A6,"27,179",Despiste com capotamento
Montemor-o-Novo,26-08-2017 18:45,1,0,A6,"27,820","Despiste com dispositivo deretenção"
Montemor-o-Novo,06-04-2017 11:15,0,1,Av. Nacional,-,"Colisão traseira com outroveículo em movimento"
Montemor-o-Novo,29-09-2017 09:05,0,1,EN114,"144,947",Despiste com capotamento
Montemor-o-Novo,20-05-2017 04:15,0,1,EN114,"156,700",Despiste simples
Montemor-o-Novo,12-03-2017 17:05,0,1,EN114,"163,975",Despiste simples
Montemor-o-Novo,03-07-2017 14:15,0,1,EN114,"172,770",Colisão frontal
Montemor-o-Novo,23-03-2017 16:40,0,1,EN4,"86,837","Colisão lateral com outro veículoem movimento"
Montemor-o-Novo,23-09-2017 10:55,1,1,EN4,"91,509","Colisão lateral com outro veículoem movimento"
Montemor-o-Novo,18-04-2017 00:10,0,1,Rua Cidade do fundão,-,Atropelamento com fuga
Mora,11-05-2017 08:30,1,2,EN251,"68,974",Colisão frontal
Mora,07-06-2017 08:50,0,1,"Rua Dr. Teodosio Pereira SilveiraFumaz",-,Atropelamento de peões
Mourao,30-12-2017 11:20,0,1,EN256,"36,300",Despiste simples
Portel,27-01-2017 15:15,0,1,-,"4,000",Colisão frontal
Portel,19-11-2017 06:10,1,0,-,-,Despiste simples
Portel,23-09-2017 22:45,1,0,IP2,"310,419",Despiste simples
Redondo,17-12-2017 11:30,0,1,-,-,Colisão frontal
Redondo,06-12-2017 07:20,0,1,avenida de gien,-,Despiste simples
Redondo,28-01-2017 15:20,0,1,EN254,"21,600",Despiste simples
Reguengos de Monsaraz,18-10-2017 15:00,0,1,-,"1,000",Despiste simples
Reguengos de Monsaraz,19-08-2017 21:40,1,0,-,"46,000","Colisão traseira com outroveículo em movimento"
Reguengos de Monsaraz,28-09-2017 20:10,0,1,-,-,Despiste simples
Reguengos de Monsaraz,13-01-2017 18:13,0,1,Bairro Padre Américo,-,"Colisão lateral com outro veículoem movimento"
Reguengos de Monsaraz,03-10-2017 19:50,0,1,EN256,"18,700",Atropelamento de animais
Reguengos de Monsaraz,09-06-2017 11:40,0,1,Rua General Humberto Delgado,-,Atropelamento de peões
Vendas Novas,10-12-2017 16:30,0,1,EN4,"56,172",Colisão frontal
Vendas Novas,27-03-2017 11:30,1,0,EN4,"63,300","Colisão traseira com outroveículo em movimento"
Vendas Novas,02-10-2017 10:15,0,1,Largo Serpa Pinto,-,Atropelamento de peões
Vendas Novas,11-05-2017 18:35,0,1,Rua José Francisco Fragoso,-,"Colisão lateral com outro veículoem movimento"
Viana do Alentejo,17-06-2017 17:35,1,0,EN2,"542,200","Colisão traseira com outroveículo em movimento"
Viana do Alentejo,20-11-2017 22:15,1,0,EN384,"3,390",Despiste com capotamento
Vila Vicosa,15-04-2017 15:08,0,1,Caminho do Chaparral - Maroteia,-,Colisão frontal
Vila Vicosa,14-09-2017 05:42,1,0,EN254,"6,300",Despiste simples
Vila Vicosa,15-07-2017 01:10,0,1,Estrada Do Alandroal,-,Despiste simples
